POST-OFFICE-NAME	PIN-CODE	DISTRICT	STATE
CHISHTIAN	62350	Bahawal Nagar 	Punjab
CHITRAL GPO	17200	Chitral 	NWFP
CHITTA BATTA	21304	Mansehra 	NWFP
CHITTA MORE	47120	Murree 	Punjab
CHITTER PARI 	10230	Mirpur 	Azad Kashmir
CHOA SAIDAN SHAH	48320	Chakwal 	Punjab
CHOBARA	51450	Sialkot 	Punjab
CHOHA KHALSA	47470	Rawalpindi 	Punjab
CHOHAN	48920	Chakwal 	Punjab
CHOHAN	21062	Mansehra 	NWFP
CHOKARA	27300	Karak 	NWFP
CHOTALA	49710	Jhelum 	Punjab
CHOTI	32380	Dera Ghazi Khan 	Punjab
CHOTTA GALA	12260	Rawalakot 	Azad Kashmir
CHOUBARA	31500	Layyah 	Punjab
CHOUDHWAN	29330	Dera Ismail Khan 	NWFP
CHOWK GIROTE	41024	Khushab 	Punjab
CHOWK METHLA	61172	Vehari 	Punjab
CHOWK PINDORI	47530	Rawalpindi 	Punjab
CHOWKI	10080	Bhimber 	Azad Kashmir
CHOWKI MONG	11190	Kotli 	Azad Kashmir
CHUHANG	53800	Lahore 	Punjab
CHUHAR JAMALI	73070	Hyderabad 	Sindh
CHUND BHARWANA	35500	Jhang 	Punjab
CHUNDIKO	66062	Khairpur 	Sindh
CHUNIAN  	55220	Kasur 	Punjab
CHUPRIAL	19044	Saidu Shairf 	NWFP
CHUTIALI SHAFIR	84100	Loralai 	Balochistan
CLARKABAD	55190	Kasur 	Punjab
CONSOLIDATED SUGAR MILLS RANI PUR	66104	Khairpur  	Sindh
D.G KHAN SECONDARY BOARD	32260	Dera Ghazi Khan 	Punjab
D.G.KHAN CEMENT FACTORY	32250	Dera Ghazi Khan 	Punjab
D.I KHAN POLYTECHNICAL INSTITUTE	29090	Dera Ismail Khan 	NWFP
D.I KHAN AGRICULTURAL RESEARCH CENTER	29120	Dera Ismail Khan 	NWFP
DAB BEGU KHEL	27900	Karak 	NWFP
DAD LAGHARI	65052	Sukkur 	Sindh
DADAR	21160	Mansehra 	NWFP
DADU GPO	76200	Dadu 	Sindh
DADU SUGAR MILL (PIARO GOTH)	76230	Dadu 	Sindh
DADYAL KHURD	10530	Mirpur 	Azad Kashmir
DAGAI BANDA	24200	Nowshera 	NWFP
DAGAR NARI	26410	Kohat 	NWFP
DAGGAR	17290	Mardan 	NWFP
DAGHONI	16750	Skardu HPO	Northern Area
DAHGAL	47310	Rawalpindi 	Punjab
DAHRAN WALA	62380	Bahawal Nagar 	Punjab
DAJAL	33100	Dera Ghazi Khan 	Punjab
DAK ISMAIL KHEL	24260	Nowshera 	NWFP
DAKHAN	78040	Shikarpur 	Sindh
DAKHNAIR	43080	Attock 	Punjab
DALBANDIN	95100	Quetta 	Balochistan
DALIPUR	48312	Chakwal 	Punjab
DALLOWALI	51320	Sialkot 	Punjab
DALOLA	22190	Abbottabad 	NWFP
DALOLA	22190	Mansehra 	NWFP
DALU KHEL	28530	Bannu 	NWFP
DALWAL	48360	Chakwal 	Punjab
DAMORI	19204	Saidu Sharif 	NWFP
DAMSUM	16910	Skardu HPO	Northern Area
DANDA SHAH BALAWAL	48230	Talagang 	Punjab
DANDI SURHALI	48042	Talagang 	Punjab
DANDOT	48310	Chakwal 	Punjab
DANDOT RAILWAY STATION	49064	Jhelum 	Punjab
DANYORE	15110	Gilgit 	Northern Area
DARA ADAM KHEL	26100	Kohat 	NWFP
DARA MANIAL	18400	Batkhela HPO	NWFP
DARA PEZU	28470	Bannu 	NWFP
DARABAN	29310	Dera Ismail Khan 	NWFP
DARAIN	34380	Muzaffargarh 	Punjab
DARASON	17060	Chitral 	NWFP
DARAZINDA	29340	Dera Ismail Khan 	NWFP
DARBAND	21460	Mansehra 	NWFP
DARBELO	67070	Nawabshah 	Sindh
DARGAI	23060	Batkhela HPO	NWFP
DARORA	18150	Batkhela HPO	NWFP
DAROTE	48154	Talagang 	Punjab
DARRO	73040	Hyderabad 	Sindh
DARYA KHAN MARI	67390	Nawabshah 	Sindh
DARYA KHAN RAILWAY STATION	30100	Bhakkar 	Punjab
DASKA	51010	Sialkot 	Punjab
DASSU	20100	Mansehra 	NWFP
DASUHA	37430	Faisalabad 	Punjab
DATA KHEL	28220	Bannu 	NWFP
DATOOT	12440	Rawalakot 	Azad Kashmir
DAUD KHEL	42320	Mianwali 	Punjab
DAUD ZAI	24400	Peshawar 	NWFP
DAULAT NAGAR	50910	Gujrat 	Punjab
DAULATPUR	67190	Nawabshah 	Sindh
DAULTALA	47740	Gujar Khan 	Punjab
DAUR	67410	Nawabshah 	Sindh
DAVLAI	19070	Saidu Sharif 	NWFP
DAWARANDI 	12164	Rawalakot 	Azad Kashmir
DAWOOD ABAD	61050	Vehari 	Punjab
DAWOODPUR	43700	Attock 	Punjab
DEAR MURAD JAMALI	80700	Sibi 	Balochistan
DEH-22 JAMRO	68214	Sanghar 	Sindh
DEPALPUR	56180	Okara 	Punjab
DERA ALLAYYAR	80500	Sibi 	Balochistan
DERA BAKHA	63070	Bahawalpur 	Punjab
DERA BUGTI	80100	Sibi 	Balochistan
DERA DIN PANAH	34010	Muzaffargarh 	Punjab
DERA GHAZI KHAN GPO	32200	Dera Ghazi Khan 	Punjab
DERA ISMAIL KHAN GPO	29050	Dera Ismail Khan 	NWFP
DERA TOWN SHIP	29060	Dera Ismail Khan 	NWFP
DEVAL	23490	Sawabi 	NWFP
DEVI	47784	Gujar Khan 	Punjab
DEVNA MANDI (BASCO)	50600	Gujrat 	Punjab
DEWAL	47194	Murree 	Punjab
DEWALIAN	48820	Chakwal 	Punjab
DEWAN SHARIF GORAH	12060	Rawalakot 	Azad Kashmir
DEWAN SUGAR MILLS THATTA	73052	Hyderabad 	Sindh
DEWAN SULEMAN FAROOQ INDUSTRIAL AREA	22870	Haripur 	NWFP
DHABEJI	73200	Hyderabad 	Sindh
DHADAR	81400	Sibi 	Balochistan
DHADHAR	41122	Khushab 	Punjab
DHAIWAL	49200	Jhelum 	Punjab
DHAKHI	24506	Charsadda 	NWFP
DHAMALI	47450	Rawalpindi 	Punjab
DHAMAWA	10460	Mirpur 	Azad Kashmir
DHAMIAL CAMP RAWALPINDI	46500	Rawalpindi 	Punjab
DHAMTAUR	22200	Abbottabad 	NWFP
DHAMTHAL	51660	Narowal 	Punjab
DHANDA	47240	Murree 	Punjab
DHANDAR KALAN	10038	Bhimber 	Azad Kashmir
DHANOT	59330	Multan 	Punjab
DHARABI	48624	Chakwal 	Punjab
DHARIAL KAHOON	48340	Chakwal 	Punjab
DHARIALA JALAP	49080	Jhelum 	Punjab
DHARIMA	40370	Sargodha 	Punjab
DHARKI	65010	Sukkur 	Sindh
DHARUKNA	48564	Chakwal 	Punjab
DHARYALA SEHGAL	47510	Rawalpindi 	Punjab
DHAULAR	48062	Talagang 	Punjab
DHEEDWAL	48516	Chakwal 	Punjab
DHERI ALLA DHAND	23010	Batkhela HPO	NWFP
DHERI SYDAN	48332	Chakwal 	Punjab
DHERI WATTAN	10042	Bhimber 	Azad Kashmir
DHERMOND	48180	Talagang 	Punjab
DHIBA KAR SIAL	42232	Mianwali 	Punjab
DHIDWAL	48500	Chakwal 	Punjab
DHILL BAGH	35300	Jhang 	Punjab
DHIRKOT	12600	Bagh 	Azad Kashmir
DHIRKOT SATTIAN 	47234	Murree 	Punjab
DHODA	48902	Chakwal 	Punjab
DHODHA SHARIF	50892	Gujrat 	Punjab
DHOK LAHM	43250	Attock 	Punjab
DHOKE BIDDER	49720	Jhelum 	Punjab
DHONG	47770	Gujar Khan 	Punjab
DHONKAL	52010	Gujranwala 	Punjab
DHORIA	50130	Gujrat 	Punjab
DHORO NARO	69070	Mirpur Khas 	Sindh
DHRIKAN KALAN	50450	Mandi Bahauddin 	Punjab
DHUDHI THALL	49000	Jhelum 	Punjab
DHUDIAL (CHAKWAL)	48700	Chakwal 	Punjab
DHUDIAL (MANSEHRA)	21130	Mansehra 	NWFP
DHULLI	48170	Talagang 	Punjab
DHULLI	12570	Bagh 	Azad Kashmir
DHURNAKA	42240	Mianwali 	Punjab
DHURNAL	48210	Talagang 	Punjab
DIAL	49310	Jhelum 	Punjab
DICH KOT	37370	Faisalabad 	Punjab
DIGARI	88150	Quetta 	Balochistan
DIGRI	69330	Mirpur Khas 	Sindh
DILAWAR FARM SARGANA	61202	Vehari 	Punjab
DILBORI	21430	Mansehra 	NWFP
DILLEWALI	42312	Mianwali 	Punjab
DIN PUR	29100	Dera Ismail Khan 	NWFP
DINA	49400	Jhelum 	Punjab
DINGA	50280	Mandi Bahauddin 	Punjab
DIPLO	69280	Mirpur Khas 	Sindh
DIR	18000	Batkhela HPO	NWFP
DIWANI HAZOORI	49240	Jhelum 	Punjab
DOABA	26240	Kohat 	NWFP
DOABA	34382	Muzaffargarh 	Punjab
DOBERAN KALAN	47440	Rawalpindi 	Punjab
DOBIAN	23330	Mardan 	NWFP
DOGAI	23340	Mardan 	NWFP
DOKOTA	61180	Vehari 	Punjab
DOKRI	77060	Larkana 	Sindh
DOMEL	43220	Attock 	Punjab
DOMEL (BANNU)	28010	Bannu 	NWFP
DOMELI	49300	Jhelum 	Punjab
DR.AZIZULLAH SALAKZAI	80310	SIBI 	Balochistan
DRIGH COLONY	75230	Korangi 	Sindh
DROSH	17220	Chitral 	NWFP
DUBB	42012	Mianwali 	Punjab
DUKKI	84200	Loralai 	Balochistan
DULLAN WALA	50210	Gujrat 	Punjab
DULLEWALA	30110	Bhakkar 	Punjab
DULMIAL	48330	Chakwal 	Punjab
DUMMAN	48880	Chakwal 	Punjab
DUNGA BUNGA	62110	Bahawal Nagar 	Punjab
DUNGA GALI	22300	Abbottabad 	NWFP
